Location,General,,,GCSE Subjects,,,,,,,,,,,,,,,,,,A Level Subjects,,,,,,,,,,,,,,,,,,
,Tutors,GCSE Tutors,A Level Tutors,GCSE Maths,GCSE English,GCSE Science,GCSE Biology,GCSE Chemistry,GCSE Physics,GCSE Business,GCSE Computer Science,GCSE Economics,GCSE French,GCSE Further Maths,GCSE Geography,GCSE German,GCSE History,GCSE Italian,GCSE Media,GCSE Psychology,GCSE Spanish,A Level Biology,A Level Business,A Level Chemistry,A Level Computer Science,A Level Economics,A Level English,A Level Further Maths,A Level French,A Level Geography,A Level German,A Level History,A Level Maths,A Level Law,A Level Philosophy,A Level Physics,A Level Politics,A Level Psychology,A Level Sociology,A Level Spanish
Manchester,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DONE,,,,
Birmingham,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheffield,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigan,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leicester,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coventry,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southampton,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portsmouth,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derby,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swindon,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwich,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peterborough,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeter,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Albans,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aylesbury,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epsom,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watford,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunbridge Wells,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratford-upon-Avon,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worcester,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrogate,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winchester,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Leamington Spa,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warwick,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevenage,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemel Hempstead,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton Keynes,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guildford,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welwyn Garden City,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatfield,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Wycombe,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesham,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banbury,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpenden,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,DONE,DONE,DONE,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbury-on-Thames,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevenoaks,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loughborough,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colchester,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelmsford,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solihull,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutton Coldfield,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altrincham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilmslow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knutsford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maidstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basingstoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconsfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerrards Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amersham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkhamsted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letchworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Neots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weybridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camberley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farnham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godalming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldershot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abingdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henley-on-Thames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didcot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirencester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenilworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitchin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potters Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rickmansworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishops Stortford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borehamwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princes Risborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Missenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leighton Buzzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampthill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bury St Edmunds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldock,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottingham,DONE,DONE,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
